Dataset,Epoch,Accuracy,CPP,CNP,IPP,INP,TPR,FPR
JOPCS_1,49997,0.6834170818328857,6,130,1,62,0.08823529411764706,0.9117647058823529
JOPCS_1,99997,0.6934673190116882,7,131,0,61,0.10294117647058823,0.8970588235294118
JOPCS_1,149997,0.6834170818328857,7,129,2,61,0.10294117647058823,0.8970588235294118
JOPCS_1,199997,0.7085427045822144,11,130,1,57,0.16176470588235295,0.8382352941176471
JOPCS_1,249997,0.7085427045822144,16,125,6,52,0.23529411764705882,0.7647058823529411
AMM,49998,0.9439252614974976,0,404,7,17,0.0,1.0
AMM,99998,0.9509345889091492,0,407,4,17,0.0,1.0
AMM,149998,0.9579439163208008,0,410,1,17,0.0,1.0
AMM,199998,0.9485981464385986,0,406,5,17,0.0,1.0
AMM,249998,0.9485981464385986,0,406,5,17,0.0,1.0
IJEEE,49999,0.9361022114753723,0,293,1,19,0.0,1.0
IJEEE,99999,0.9392971396446228,0,294,0,19,0.0,1.0
IJEEE,149999,0.9392971396446228,0,294,0,19,0.0,1.0
IJEEE,199999,0.9361022114753723,0,293,1,19,0.0,1.0
IJEEE,249999,0.9329073429107666,0,292,2,19,0.0,1.0
JMS,50000,0.9844444394111633,0,443,4,3,0.0,1.0
JMS,100000,0.9822221994400024,0,442,5,3,0.0,1.0
JMS,150000,0.9822221994400024,0,442,5,3,0.0,1.0
JMS,200000,0.9844444394111633,0,443,4,3,0.0,1.0
JMS,250000,0.9755555391311646,0,439,8,3,0.0,1.0
